,Log
0,0.01831376552581787
1,0.03216955065727234
2,0.057967960834503174
3,0.04688815772533417
4,0.04520273208618164
5,0.046539624532063804
6,0.04463563646589007
7,0.04364713281393051
8,0.04438210858239068
9,0.04134837985038758
10,0.04029806093736129
11,0.04070518910884858
12,0.0452299897487347
13,0.051295199564525065
14,0.04956266880035401
15,0.04845326021313668
16,0.050051668111015774
17,0.051536209053463414
18,0.050721406936645515
19,0.05013545751571656
20,0.04822470744450888
21,0.04842550375244835
22,0.04731702545414801
23,0.04724332690238953
24,0.046101262569427495
25,0.04542845258345971
26,0.04434837897618612
27,0.0438460579940251
28,0.04285911650493228
29,0.04339186350504558
30,0.0429086858226407
31,0.04320365376770497
32,0.04325394558184075
33,0.04317232615807478
34,0.04250816447394236
35,0.04235807723469205
36,0.04163807308351672
37,0.0411691775447444
38,0.040888023682129696
39,0.04032655358314515
40,0.04041703154401082
41,0.041022126163755154
42,0.040532830149628406
43,0.040035020221363425
44,0.04130005571577285
45,0.04080003759135372
46,0.04042969485546682
47,0.04111725961168609
48,0.04050891983265781
49,0.040305089950561535
50,0.04124856462665634
51,0.04070296195837169
52,0.040794668332585764
53,0.0407616816185139
54,0.04041276194832543
55,0.04013163915702276
56,0.04296350269986873
57,0.0438305530054816
58,0.043762914205001585
59,0.04326967795689902
60,0.0429977198116115
61,0.04278995048615241
62,0.042399978826916415
63,0.04269727319478989
64,0.04333735887820905
65,0.042978051033887
66,0.042516791108828875
67,0.04239883142359117
68,0.04278485930484274
69,0.04234215532030378
